url,brand,name,article_codes,image_article,status
https://www.fjellsport.no/merker/garmin/garmin-sykkelbrakett,garmin,Garmin Handlebar Mount Nocolour | Fjellsport.no,1SIZE,010-11023-00_hr_001,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-keron-4-gront,hilleberg,Hilleberg Keron 4 Green | Fjellsport.no,1SIZE,hilleberg-keron-4-green,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-keron-4-rodt,hilleberg,Hilleberg Keron 4 Red | Fjellsport.no,OneSize,hilleberg-keron-4-red,ok
https://www.fjellsport.no/merker/lundhags/lundhags-shoe-laces-150-cm-black,lundhags,Lundhags Shoe Laces 150 cm Black | Fjellsport.no,1SIZE,1050103-900-150,ok
https://www.fjellsport.no/merker/lundhags/lundhags-shoe-laces-150-cm-black-red,lundhags,Lundhags Shoe Laces 150 cm Black/Red | Fjellsport.no,1SIZE,1050103-902-150,ok
https://www.fjellsport.no/merker/lundhags/lundhags-shoe-laces-165cm-olive-multi-583289,lundhags,Lundhags Shoe Laces 165 CM Olive Multi | Fjellsport.no,165CM,1050104-48114-main01,ok
https://www.fjellsport.no/merker/lundhags/lundhags-shoe-laces-165cm-black-dk-agave-165cm,lundhags,Lundhags Shoe Laces 165 CM Black/Dk Agave | Fjellsport.no,1SIZE,1050104-9252,ok
https://www.fjellsport.no/merker/lundhags/lundhags-shoe-laces-165-cm-black,lundhags,Lundhags Shoe Laces 165 CM Black | Fjellsport.no,1SIZE,1050104-900_ComputedImageURL,ok
https://www.fjellsport.no/merker/lundhags/lundhags-shoe-laces-165-cm-black-rush,lundhags,Lundhags Shoe Laces 165 CM Black/Rush | Fjellsport.no,1SIZE,1050104-923,ok
https://www.fjellsport.no/merker/lundhags/lundhags-shoe-laces-180-cm-black,lundhags,Lundhags Shoe Laces 180 cm Black | Fjellsport.no,1SIZE,lundhags-shoe-laces-180-cm-black,ok
https://www.fjellsport.no/merker/lundhags/lundhags-shoe-laces-180-cm-black-grey,lundhags,Lundhags Shoe Laces 180 cm Black/Grey | Fjellsport.no,1SIZE,1050105-901-180CM,ok
https://www.fjellsport.no/merker/lundhags/lundhags-shoe-laces-200-cm-black,lundhags,Lundhags Shoe Laces 200 CM Black | Fjellsport.no,1SIZE,1050106-900-200CM,ok
https://www.fjellsport.no/merker/lundhags/lundhags-shoe-laces-200-cm-black-rush,lundhags,Lundhags Shoe Laces 200 CM Black/Rush | Fjellsport.no,1SIZE,1050106-923-200CM,ok
https://www.fjellsport.no/merker/lundhags/lundhags-shoe-laces-200-cm-black-pecan-200cm,lundhags,Lundhags Shoe Laces 200 CM Black/Pecan | Fjellsport.no,1SIZE,1050106-922,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-keron-3-gt-gront,hilleberg,Hilleberg Keron 3 GT Green | Fjellsport.no,1SIZE,hilleberg-keron-3-gt-green,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-keron-3-gt-rodt,hilleberg,Hilleberg Keron 3 GT Red | Fjellsport.no,1SIZE,hilleberg-keron-3-gt-red,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-keron-3-gt-sand,hilleberg,Hilleberg Keron 3 GT Sand | Fjellsport.no,1SIZE,Hilleberg-Keron-GT-Sand,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-nammatj-2-gront,hilleberg,Hilleberg Nammatj 2 Green | Fjellsport.no,1SIZE,H15-NammatjGrn-conversion-sRGBtag,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-nammatj-2-rodt,hilleberg,Hilleberg Nammatj 2 Red | Fjellsport.no,1SIZE,H15-NammatjRed-sRGBtag,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-keron-4-gt-gront,hilleberg,Hilleberg Keron 4 GT Green | Fjellsport.no,1SIZE,H15-KeronGTGrn-conversion-sRGBtag,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-keron-4-gt-rodt,hilleberg,Hilleberg Keron 4 GT Red | Fjellsport.no,OneSize,hilleberg-keron-4-gt-red,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-keron-4-gt-sand,hilleberg,Hilleberg Keron 4 GT Sand | Fjellsport.no,1SIZE,H15-KeronGTSnd-conversion-sRGBtag,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-saitaris-gront,hilleberg,Hilleberg Saitaris Green | Fjellsport.no,1SIZE,H15-SaitarisGrn-conversion-sRGBtag,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-saivo-3-red-550545,hilleberg,Hilleberg Saivo 3 Red | Fjellsport.no,3,Saivo-2024-Red-6cb8c77c00,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-kaitum-2-telt-rod,hilleberg,Hilleberg Kaitum 2 Red | Fjellsport.no,1SIZE,H15-KaitumRed-sRGBtag,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-kaitum-2-gt-bunnduk,hilleberg,Hilleberg Kaitum 2 GT Footprint Black | Fjellsport.no,OneSize,101765_1_21,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-kaitum-3-gt-bunnduk,hilleberg,Hilleberg Kaitum 3 GT Footprint Black | Fjellsport.no,OneSize,101765_1_19,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-tarp-20-ul-gronn,hilleberg,Hilleberg Tarp 20 UL Green | Fjellsport.no,1SIZE,101728_1,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-tarp-20-ul-rod,hilleberg,Hilleberg Tarp 20 UL Red | Fjellsport.no,1SIZE,70726f647563742f484c422d5452502d3030312d6d61696e2e6a70670033303000_1,ok
https://www.fjellsport.no/merker/hestra/hestra-fjellvotten-jr-mitt-svart,hestra,Hestra Junior Fjellvotten Mitt Black | Fjellsport.no,2-3 år;4-5 år;6-7 år;8-9 år;10-11 år;12-13 år,hestra-fjellvott-jr-mitt-black,ok
https://www.fjellsport.no/merker/hestra/hestra-fjellvotten-jr-mitt-olive-451726,hestra,Hestra Junior Fjellvotten Mitt Olive | Fjellsport.no,2;3;4;5;6;7,35851-870%201,ok
https://www.fjellsport.no/merker/hestra/hestra-fjellvott-jr-mitt-marin,hestra,Hestra Junior Fjellvotten Mitt Marine | Fjellsport.no,2-3 år;4-5 år;6-7 år;8-9 år;10-11 år;12-13 år,Hestra-Fjellvott-Jr-Mitt-Marin,ok
https://www.fjellsport.no/merker/hestra/hestra-fjellvott-jr-mitt-rod,hestra,Hestra Junior Fjellvotten Mitt Red | Fjellsport.no,2-3 år;4-5 år;6-7 år;8-9 år;10-11 år;12-13 år,hestra-fjellvott-jr-mitt-red,ok
https://www.fjellsport.no/merker/hestra/hestra-fjellvotten-sr-mitt-svart-13,hestra,Hestra Fjellvotten Sr. Mitt Black | Fjellsport.no,6;7;8;9;10;11;12,cd697d737922e4cf03711e06c454f82acc99498b,ok
https://www.fjellsport.no/merker/hestra/hestra-army-leather-heli-ski-jr-mitt-fuchsia-8,hestra,Hestra Juniors&#x27; Army Leather Heli Ski Mitt Fuchsia | Fjellsport.no,4-5 år;6-7 år;8-9 år;10-11 år;12-13 år,hestra-junior-army-leather-heli-ski-mitt-fuchsia,ok
https://www.fjellsport.no/merker/hestra/hestra-army-leather-heli-ski-jr-mitt-svart-8,hestra,Hestra Juniors&#x27; Army Leather Heli Ski Mitt Black | Fjellsport.no,4-5 år;6-7 år;8-9 år;10-11 år;12-13 år,81691e6983924cd599ca2de7b827336a,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-staika-gront,hilleberg,Hilleberg Staika Green | Fjellsport.no,OneSize,H15-StaikaGrn-conversion-sRGBtag,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-staika-telt-rod,hilleberg,Hilleberg Staika Red | Fjellsport.no,OneSize,H15-StaikaRed-sRGBtag,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-staika-sand,hilleberg,Hilleberg Staika Sand | Fjellsport.no,1SIZE,hilleberg-staika-sand-1,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-nammatj-3-gront,hilleberg,Hilleberg Nammatj 3 Green | Fjellsport.no,1SIZE,hilleberg-nammatj-3-green,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-nammatj-3-rodt,hilleberg,Hilleberg Nammatj 3 Red | Fjellsport.no,1SIZE,101694_2_2,ok
https://www.fjellsport.no/merker/hilleberg/hilleberg-nammatj-3-gt-gront,hilleberg,Hilleberg Nammatj 3 GT Green | Fjellsport.no,1SIZE,hilleberg-nammatj-3-gt-green,ok
